project,task_name,source,target
hr-企业报告,dws_avgdownload_workyear,dws.dws_resume_collectrecords,dws.dws_avgdownload_workyear
hr-企业报告,dws_avgdownload_workyear,dws.dws_company_details,dws.dws_avgdownload_workyear
hr-企业报告,dws_company_details,dwd.dwd_hr_company_basicdata,dws.dws_company_details
hr-企业报告,dws_company_details,dwd.dwd_hr_company_combo_subsidiary_record,dws.dws_company_details
hr-企业报告,dws_company_details,dwd.dwd_hr_job_basicdata,dws.dws_company_details
hr-企业报告,dws_company_details,ods.ods_hr_company_hrinfo,dws.dws_company_details
hr-企业报告,dws_company_details,ods.ods_hr_company_deparmentdata,dws.dws_company_details
hr-企业报告,dws_company_details,ods.ods_hr_company_industrytyperecord,dws.dws_company_details
hr-企业报告,dws_company_details,dwd.dwd_hr_company_combo_basicdata,dws.dws_company_details
hr-企业报告,dws_jobs_search,dws.dws_company_details,dws.dws_jobs_search
hr-企业报告,dws_jobs_search,dwd.dwd_hr_click_log,dws.dws_jobs_search
hr-企业报告,dws_jobs_views,dws.dws_company_details,dws.dws_jobs_views
hr-企业报告,dws_jobs_views,dwd.dwd_hr_view_job_click,dws.dws_jobs_views
hr-企业报告,dws_job_avgsalary,dwd.dwd_hr_job_basicdata,dws.dws_job_avgsalary
hr-企业报告,dws_msgrecord_report,dws.dws_company_details,dws.dws_msgrecord_report
hr-企业报告,dws_msgrecord_report,ods.ods_jobim_msgrecord,dws.dws_msgrecord_report
hr-企业报告,dws_region_avgsalary_b,dwd.dwd_hr_company_basicdata,dws.dws_region_avgsalary_b
hr-企业报告,dws_region_avgsalary_b,ods.ods_hr_company_industrytyperecord,dws.dws_region_avgsalary_b
hr-企业报告,dws_region_avgsalary_b,dwd.dwd_hr_job_basicdata,dws.dws_region_avgsalary_b
hr-企业报告,在线子账号&协同账号,dwd.dwd_hr_company_basicdata,dws.dws_child_account_online
hr-企业报告,在线子账号&协同账号,dwd.dwd_hr_company_combo_basicdata,dws.dws_child_account_online
hr-企业报告,在线子账号&协同账号,dwd.dwd_hr_company_combo_subsidiary_record,dws.dws_child_account_online
hr-企业报告,在线子账号&协同账号,ods.ods_hr_company_hrinfo,dws.dws_hr_account_online
mt-数据存储,dws_media_click_hotword,dwd.dwd_media_webclick,dws.dws_media_click_hotword
mt-数据存储,dws_media_click_hotword,ods.ods_media_bjx_hotwordv2,dws.dws_media_click_hotword
体外数据统计,dws_transform_tiwai_regist_resume_statistics,ods.ods_hr_resume_basicdata,dws.dws_transform_tiwai_regist_resume_statistics
体外数据统计,dws_transform_tiwai_regist_resume_statistics,dws.dws_transform_register_user_statistics_day,dws.dws_transform_tiwai_regist_resume_statistics
体外数据统计,dws_transform_tiwai_regist_resume_statistics,ods.ods_hr_resume_educationbasicdata,dws.dws_transform_tiwai_regist_resume_statistics
hr-手工报表,ads_sp_company_checkinfo,ods.ods_hr_company_checklog,ads.ads_sp_company_checkinfo
hr-手工报表,ads_sp_company_details,dwd.dwd_hr_company_basicdata,ads.ads_sp_company_details
hr-手工报表,ads_sp_company_details,ods.ods_hr_company_industrytyperecord,ads.ads_sp_company_details
hr-手工报表,ads_sp_company_details_v2,dwd.dwd_hr_company_basicdata,ads.ads_sp_company_details_v2
hr-手工报表,ads_sp_company_details_v2,ods.ods_hr_company_industrytyperecord,ads.ads_sp_company_details_v2
hr-手工报表,ads_sp_company_funnel,dwd.dwd_hr_company_basicdata,ads.ads_sp_company_funnel
hr-手工报表,ads_sp_company_funnel,ods.ods_hr_company_checklog,ads.ads_sp_company_funnel
hr-手工报表,ads_sp_company_ischeck,ods.ods_hr_company_checklog,ads.ads_sp_company_ischeck
hr-手工报表,ads_sp_company_nocheck,ods.ods_hr_company_checklog,ads.ads_sp_company_nocheck
hr-手工报表,ads_sp_company_registers,dwd.dwd_hr_company_basicdata,ads.ads_sp_company_registers
hr-手工报表,ads_sp_hr_active_data,dws.dws_browse_user_page_statistics_day,ads.ads_sp_hr_active_data
hr-手工报表,ads_sp_hr_active_data,dwd.dwd_hr_company_hrinfo,ads.ads_sp_hr_active_data
hr-手工报表,ads_sp_hr_active_data,ods.ods_hr_company_industrytyperecord,ads.ads_sp_hr_active_data
hr-手工报表,ads_sp_hr_active_data,dwd.dwd_hr_company_basicdata,ads.ads_sp_hr_active_data
hr-手工报表,ads_sp_hr_active_data,dwd.dwd_hr_company_combo_record,ads.ads_sp_hr_active_data
hr-标签平台,JXZS01001,dwd.dwd_hunter_resumehunter_basicdata,ads.ads_hunter_user_tag_detail
hr-标签平台,JXZS01003,dwd.dwd_hunter_resumehunter_basicdata,ads.ads_hunter_user_tag_detail
hr-标签平台,JXZS01023,dwd.dwd_hunter_resumehunter_basicdata,ads.ads_hunter_user_tag_detail
hr-标签平台,JXZS01023,dwd.dwd_hunter_resumehunter_dictionarybegposition_region_province,ads.ads_hunter_user_tag_detail
hr-标签平台,JXZS01024,dwd.dwd_hunter_resumehunter_basicdata,ads.ads_hunter_user_tag_detail
hr-标签平台,JXZS01025,dwd.dwd_hunter_resumehunter_basicdata,ads.ads_hunter_user_tag_detail
hr-标签平台,meta_RA01001,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RA01002,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RA01003,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RA01004,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RA01005,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RA01006,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RA01007,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB02001,ads.ads_user_tag_detail,ads.ads_tag_metadata
